,id,url,primaryTitle,originalTitle,trailer,contentRating,startYear,releaseDate,interests,spokenLanguages,budget,grossWorldwide,genres,runtimeMinutes,averageRating,numVotes,company_1,company_2,company_3
51,tt7608028,https://www.imdb.com/title/tt7608028/,The Open House,The Open House,https://www.youtube.com/watch?v=tMSu3Gyz1jU,TV-MA,2018,2018-01-19,"['Horror', 'Thriller']",['en'],100000.0,,"['Horror', 'Thriller']",94,3.3,38339,,,
52,tt0120207,https://www.imdb.com/title/tt0120207/,Steel,Steel,https://www.youtube.com/watch?v=ItaRZO69RsY,PG-13,1997,1997-08-15,"['Superhero', 'Action', 'Adventure', 'Crime', 'Fantasy', 'Sci-Fi']",['en'],16000000.0,1801972.0,"['Action', 'Adventure', 'Crime']",97,3.0,15512,Warner Bros.,Quincy Jones-David Salzman Entertainment,
53,tt2403029,https://www.imdb.com/title/tt2403029/,The Starving Games,The Starving Games,https://www.youtube.com/watch?v=V-bTeQ8Esdk,PG-13,2013,2013-10-31,"['Parody', 'Adventure', 'Comedy', 'Sci-Fi']",['en'],4999278.0,3906308.0,"['Adventure', 'Comedy', 'Sci-Fi']",83,3.2,23359,The Safran Company,,
54,tt1666186,https://www.imdb.com/title/tt1666186/,Vampires Suck,Vampires Suck,https://www.youtube.com/watch?v=Gw1oGbdXzoU,PG-13,2010,2010-08-18,"['Parody', 'Slapstick', 'Vampire Horror', 'Comedy', 'Horror']","['en', 'de']",20000000.0,80547866.0,"['Comedy', 'Horror']",82,3.4,53146,New Regency Productions,Road Rebel,
55,tt4877122,https://www.imdb.com/title/tt4877122/,The Emoji Movie,The Emoji Movie,https://www.youtube.com/watch?v=p3eg0JIc6d4,PG,2017,2017-07-28,"['Computer Animation', 'Supernatural Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['en', 'es']",50000000.0,217776646.0,"['Adventure', 'Animation', 'Comedy']",86,3.4,75579,Columbia Pictures,LStar Capital,Sony Pictures Animation
56,tt6038600,https://www.imdb.com/title/tt6038600/,Smolensk,Smolensk,,,2016,2016-09-09,"['Drama', 'Thriller']","['pl', 'en']",3000000.0,2336032.0,"['Drama', 'Thriller']",120,1.2,40344,Fundacja 'Smolensk 2010',Fundacja Smolensk 2010,
57,tt8366590,https://www.imdb.com/title/tt8366590/,Baaghi 3,Baaghi 3,,,2020,2020-03-06,"['One-Person Army Action', 'Action']",['hi'],550000000.0,16726510.0,['Action'],143,2.2,14486,Fox Star Studios,Nadiadwala Grandson Entertainment,
58,tt0329028,https://www.imdb.com/title/tt0329028/,Dumb and Dumberer: When Harry Met Lloyd,Dumb and Dumberer: When Harry Met Lloyd,https://www.youtube.com/watch?v=tdjX8Voj5vI,PG-13,2003,2003-06-13,"['Buddy Comedy', 'Slapstick', 'Comedy']",['en'],19000000.0,39267515.0,['Comedy'],85,3.5,43536,New Line Cinema,Burg/Koules Productions,Avery Pix
59,tt2574698,https://www.imdb.com/title/tt2574698/,Gunday,Gunday,https://www.youtube.com/watch?v=lFI09rbuHQ8,Not Rated,2014,2014-02-14,"['Action', 'Drama', 'Musical', 'Romance']","['hi', 'bn']",,11061813.0,"['Action', 'Drama', 'Musical']",152,2.7,60770,Yash Raj Films,,
60,tt0110978,https://www.imdb.com/title/tt0110978/,Texas Chainsaw Massacre: The Next Generation,The Return of the Texas Chainsaw Massacre,https://www.youtube.com/watch?v=jmyDMs3ec5w,R,1994,1995-09-22,"['Dark Comedy', 'Satire', 'Slasher Horror', 'Comedy', 'Horror', 'Thriller']",['en'],600000.0,185898.0,"['Comedy', 'Horror', 'Thriller']",87,3.4,27404,Ultra Muchos Productions,River City Films,Genre Pictures
